test set,McCormick 1,McCormick 0.5,McCormick 0.25,Time McCormick 1,Time McCormick_0.5,Time McCormick_0.25
j3042_9,22378.0,22794.0,27395.0,0,0,0
j3042_10,22274.0,24282.0,26028.0,0,0,0
j3043_1,21882.0,22247.0,26405.0,0,0,0
j3043_2,16739.0,16578.0,17523.0,0,0,0
j3043_3,16851.0,16784.0,18461.0,0,0,0
j3043_4,24934.0,26140.0,28349.0,0,0,0
j3043_5,15626.0,15626.0,16222.0,0,0,0
j3043_6,21550.0,21550.0,22599.0,0,0,0
j3043_7,17443.0,17443.0,19229.0,0,0,0
j3043_8,20289.0,20289.0,22437.0,0,0,0
j3043_9,19717.0,19717.0,22508.0,0,0,0
j3043_10,21137.0,21137.0,22706.0,0,0,0
j3044_1,17109.0,17102.0,18032.0,0,0,0
j3044_2,20001.0,20001.0,19732.0,0,0,0
j3044_3,20953.0,21177.0,21994.0,0,0,0
j3044_4,17861.0,17861.0,18708.5,0,0,0
j3044_5,18589.0,18589.0,19228.0,0,0,0
j3044_6,22235.0,22096.0,22965.0,0,0,0
j3044_7,15390.0,15390.0,16063.0,0,0,0
j3044_8,18174.0,18174.0,19568.0,0,0,0
j3044_9,26136.0,26485.0,32131.0,0,0,0
j3044_10,19698.0,19698.0,20859.0,0,0,0
j3045_1,17113.0,17113.0,18198.0,0,0,0
j3045_2,19972.0,19740.0,20486.0,0,0,0
j3045_3,17945.0,17945.0,18386.0,0,0,0
j3045_4,20727.0,22229.0,24188.0,0,0,0
j3045_5,17994.0,17942.0,19379.0,0,0,0
j3045_6,23584.0,23786.0,27693.0,0,0,0
j3045_7,28487.0,28424.0,34287.0,0,0,0
j3045_8,22329.0,22384.0,23909.0,0,0,0
j3045_9,16244.0,16244.0,16369.0,0,0,0
j3045_10,18432.0,18432.0,18361.0,0,0,0
j3046_1,17212.0,17212.0,19471.0,0,0,0
j3046_2,21643.0,22609.0,24474.0,0,0,0
j3046_3,19527.0,19527.0,20087.0,0,0,0
j3046_4,20146.0,20146.0,21010.0,0,0,0
j3046_5,21360.0,22248.0,23153.0,0,0,0
j3046_6,18726.0,18648.0,19746.0,0,0,0
j3046_7,21598.0,22417.0,23940.0,0,0,0
j3046_8,20869.0,20869.0,20765.0,0,0,0
j3046_9,17666.0,18280.0,19966.0,0,0,0
j3046_10,17666.0,19046.0,19909.0,0,0,0
j3047_1,21894.0,21894.0,23707.0,0,0,0
j3047_2,19083.0,19083.0,22892.0,0,0,0
j3047_3,18712.0,18712.0,18522.0,0,0,0
j3047_4,17788.0,17788.0,19348.0,0,0,0
j3047_5,17455.0,18601.0,19844.0,0,0,0
j3047_6,18550.0,18550.0,20086.0,0,0,0
j3047_7,19665.0,20098.0,22341.0,0,0,0
j3047_8,15786.0,15786.0,16404.0,0,0,0
j3047_9,24732.0,24845.0,28924.0,0,0,0
j3047_10,19510.0,19510.0,19490.5,0,0,0
j3048_1,21877.0,23527.0,24991.0,0,0,0
j3048_2,18635.0,18635.0,22117.0,0,0,0
j3048_3,15771.0,15771.0,16760.0,0,0,0
j3048_4,20366.0,21388.0,23741.0,0,0,0
j3048_5,18952.0,18647.0,20734.0,0,0,0
j3048_6,17579.0,17579.0,18532.0,0,0,0
j3048_7,23617.0,23442.0,28668.0,0,0,0
j3048_8,18845.0,18845.0,18452.0,0,0,0
j3048_9,22835.0,22835.0,25582.0,0,0,0
j3048_10,20054.0,20054.0,22866.0,0,0,0
